Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SERVICIO DE IMPUESTOS INTERNOS,,,,,,,,,,,,
SUBDIRECCIÓN DE AVALUACIONES,,,,,,,,,,,,
DEPARTAMENTO DE TASACIONES,,,,,,,,,,,,
TASACIÓN DE VEHÍCULOS DE PASAJEROS Y CARGA AJENA 2026,,,,,,,,,,,,
POR RESOLUCIÓN EXENTA SII N° 07  DEL 14 DE ENERO DE 2026,,,,,,,,,,,,
,,,,,,,,,,,,
Código SII,Año,Tipo,Marca,Modelo,Versión,Cilindrada (CC),Carga (KG),Pasajeros (cantidad),Transmisión,Tracción,País,Tasación 2026
AR2030001,1900,Ampliroll,S/M,15 TON,SIN VERSION,,,,,,,8.939.738 
AR2030002,1900,Ampliroll,S/M,20 TON,SIN VERSION,,,,,,,10.727.686 
BA2030001,1900,Basurero,S/M,15 M3,SIN VERSION,,,,,,,8.497.008 
BA2030002,1900,Basurero,S/M,19 M3,SIN VERSION,,,,,,,9.833.712 
BA2030003,1900,Basurero,S/M,21 M3,SIN VERSION,,,,,,,10.727.686 
CA0030001,1991,Camión,AGRALE,S/M,S/M,,,,,,,790.998 
CA0030001,1992,Camión,AGRALE,S/M,S/M,,,,,,,823.834 
CA0030001,1993,Camión,AGRALE,S/M,S/M,,,,,,,930.627 
CA0030001,1994,Camión,AGRALE,S/M,S/M,,,,,,,1.022.165 
CA0030001,1995,Camión,AGRALE,S/M,S/M,,,,,,,1.159.470 
CA0030001,1996,Camión,AGRALE,S/M,S/M,,,,,,,1.266.263 
CA0030001,1997,Camión,AGRALE,S/M,S/M,,,,,,,1.365.428 
CA0030001,1998,Camión,AGRALE,S/M,S/M,,,,,,,1.456.966 
CA0030002,2005,Camión,AGRALE,6000,CD,,,,,,,3.714.238 
CA0030002,2006,Camión,AGRALE,6000,CD,,,,,,,3.885.800 
CA0030003,2005,Camión,AGRALE,8500,TCA,,,,,,,3.894.322 
CA0030003,2006,Camión,AGRALE,8500,TCA,,,,,,,4.074.204 
CA0030003,2007,Camión,AGRALE,8500,TCA,,,,,,,4.989.201 
CA0030003,2008,Camión,AGRALE,8500,TCA,,,,,,,5.162.662 
CA0030004,2005,Camión,AGRALE,9200,TCA,,,,,,,4.284.506 
CA0030004,2006,Camión,AGRALE,9200,TCA,,,,,,,4.482.409 
CA0030004,2007,Camión,AGRALE,9200,TCA,,,,,,,5.355.930 
CA0030004,2008,Camión,AGRALE,9200,TCA,,,,,,,5.565.695 
CA0030005,2007,Camión,AGRALE,6000,RD,,,,,,,5.064.667 
CA0030005,2008,Camión,AGRALE,6000,RD,,,,,,,5.181.854 
CA0120001,2016,Camión,ASTRA,ASTHD9,64.52,,,,,,,68.089.160 
CA0120002,2017,Camión,ASTRA,HD9,64.44,,,,,,,42.852.622 
CA0120003,2022,Camión,ASTRA,HD9 64.48,64.48,13.000,41.000,2,Automática,6X4,ITALIA,86.863.761 
